,Carbohydrate (g),Energy (kJ),Energy (kcal),Energy kJ,Energy kcal,Fat,Fat (g),Fibre (g),Protein (g),Salt,Salt (g),Saturated Fat,Sugar,of which saturated (g),of which sugars (g)
Breakfast Wrap,53,2531,605,2531kJ,605kcal,31g,31,4.0,27,2.5g,2.5,10.0g,7.2g,10.0,7.2
Millionaire’s Latte,25,840,200,840kJ,200kcal,7.6g,7.6,0.2,7.9,0.26g,0.26,5.1g,23g,5.1,23
"Sausage, Egg & Cheese Bagel",46,2353,562,2353kJ,562kcal,28g,28,3.5,30,2.7g,2.7,11g,6.6g,11,6.6
"Bacon, Egg & Cheese Bagel",46,2012,480,2012kJ,480kcal,21g,21,3.1,26,2.2g,2.2,8.8g,6.1g,8.8,6.1
Sausage & Egg McMuffin®,27,1797,430,1797kJ,430kcal,24g,24,2.1,26,1.9g,1.9,8.5g,2.7g,8.5,2.7
Bacon & Egg McMuffin®,27,1456,348,1456kJ,348kcal,17g,17,1.8,21,1.4g,1.4,6.1g,2.1g,6.1,2.1
Double Sausage & Egg McMuffin®,28,2358,565,2358kJ,565kcal,34g,34,2.5,36,2.7g,2.7,12g,3.2g,12,3.2
Double Bacon & Egg McMuffin®,27,1676,401,1676kJ,401kcal,20g,20,1.8,27,1.8g,1.8,7.3g,2.2g,7.3,2.2
Egg & Cheese McMuffin®,27,1236,295,1236kJ,295kcal,13g,13,1.8,16,1.1g,1.1,4.8g,2.1g,4.8,2.1
Pancakes & Syrup,95,2019,477,2019kJ,477kcal,5.6g,5.6,2.3,10,1.5g,1.5,0.9g,41g,0.9,41
Pancakes & Sausage with Syrup,96,2580,612,2580kJ,612kcal,16g,16,2.6,20,2.3g,2.3,4.6g,41g,4.6,41
Bacon Roll,43,1345,319,1345kJ,319kcal,8.4g,8.4,1.3,18,1.5g,1.5,2.7g,7.0g,2.7,7.0
Quaker Oat So Simple®,26,817,194,817kJ,194kcal,5.3g,5.3,1.9,9.6,0.20g,0.20,2.4g,9.2g,2.4,9.2
Quaker Oat So Simple® Apple & Cherry Porridge,33,961,228,961kJ,228kcal,5.5g,5.5,2.7,9.7,0.23g,0.23,2.5g,17g,2.5,17
Toasted Bagel,41,916,216,916kJ,216kcal,1.2g,1.2,2.9,8.8,0.78g,0.78,0.2g,3.9g,0.2,3.9
Hash Brown,14,568,136,568kJ,136kcal,8.2g,8.2,1.3,1.0,0.68g,0.68,0.8g,0.3g,0.8,0.3
Cheesy Bacon Flatbread,28,1246,298,1246kJ,298kcal,14g,14,1.6,14,1.5g,1.5,7.0g,2.1g,7.0,2.1
Chocolatey Donut,28,1064,254,1064kJ,254kcal,13g,13,2.3,5.4,0.37g,0.37,7.0g,10g,7.0,10
Blueberry Muffin,60,1663,395,1663kJ,395kcal,14g,14,1.7,6.7,0.59g,0.59,1.9g,32g,1.9,32
Chocolate Muffin,58,2137,511,2137kJ,511kcal,27g,27,2.8,7.9,1.1g,1.1,6.0g,32g,6.0,32
Triple Chocolate Cookie,43,1500,359,1500kJ,359kcal,18g,18,3.4,4.0,0.40g,0.40,9.4g,28g,9.4,28
Sugar Donut,20,789,189,789kJ,189kcal,10g,10,1.3,3.4,0.33g,0.33,4.6g,6.2g,4.6,6.2
Pineapple Stick,8.1,155,37,155kJ,37kcal,0.2g,0.2,1.0,0.3,0.01g,0.01,0.0g,8.1g,0.0,8.1
Tropicana® Orange Juice,22,455,108,455kJ,108kcal,0.0g,0.0,1.5,2.0,0.00g,0.00,0.0g,22g,0.0,22
Flat White,8.4,362,86,362kJ,86kcal,3.1g,3.1,0.0,6.3,0.19g,0.19,1.9g,8.2g,1.9,8.2
Toffee Latte,25,772,183,772kJ,183kcal,6.0g,6.0,0.0,7.7,0.25g,0.25,3.9g,23g,3.9,23
Latte,13,596,142,596kJ,142kcal,5.0g,5.0,0.0,11,0.33g,0.33,3.1g,13g,3.1,13
Cappuccino,9.9,395,94,395kJ,94kcal,3.2g,3.2,0.2,6.4,0.19g,0.19,2.0g,9.6g,2.0,9.6
Black Coffee,0.8,23,6,23kJ,6kcal,0.0g,0.0,0.0,0.6,0.01g,0.01,0.0g,0.0g,0.0,0.0
White Coffee,3.2,128,30,128kJ,30kcal,0.9g,0.9,0.0,2.4,0.06g,0.06,0.6g,2.4g,0.6,2.4
Double Espresso,0.2,5,1,5kJ,1kcal,0.0g,0.0,0.0,0.1,0.00g,0.00,0.0g,0.0g,0.0,0.0
Hot Chocolate,30,727,173,727kJ,173kcal,4.3g,4.3,2.3,2.2,0.57g,0.57,2.2g,27g,2.2,27
Tea,1.4,50,12,50kJ,12kcal,0.4g,0.4,0.0,0.7,0.02g,0.02,0.2g,1.0g,0.2,1.0
Big Tasty®,50,3338,799,3338kJ,799kcal,46g,46,4.3,45,3.4g,3.4,18g,11g,18,11
Big Tasty® with Bacon,50,3548,850,3548kJ,850kcal,50g,50,4.3,49,3.7g,3.7,20g,11g,20,11
Chicken Big Tasty®,53,2517,601,2517kJ,601kcal,30g,30,2.9,30,3.2g,3.2,7.4g,6.9g,7.4,6.9
The Signature Collection: The Classic,43,2918,698,2918kJ,698kcal,37g,37,2.5,47,2.4g,2.4,16g,10g,16,10
The Signature Collection: The BBQ,48,3265,782,3265kJ,782kcal,44g,44,2.9,47,2.4g,2.4,17g,14g,17,14
The Signature Collection: The Spicy,46,2658,635,2658kJ,635kcal,32g,32,2.7,40,2.7g,2.7,14g,12g,14,12
Big Mac®,43,2125,508,2125kJ,508kcal,25g,25,3.6,26,2.3g,2.3,9.5g,9.0g,9.5,9.0
Quarter Pounder™ with Cheese,37,2168,518,2168kJ,518kcal,27g,27,2.5,31,2.5g,2.5,13g,10g,13,10
Double Cheeseburger,32,1859,445,1859kJ,445kcal,23g,23,2.4,26,2.4g,2.4,12g,8.1g,12,8.1
Bacon Double Cheeseburger,32,2070,495,2070kJ,495kcal,27g,27,2.4,30,2.7g,2.7,13g,8.1g,13,8.1
Cheeseburger,31,1262,301,1262kJ,301kcal,12g,12,2.4,16,1.6g,1.6,6.0g,7.3g,6.0,7.3
Hamburger,30,1053,250,1053kJ,250kcal,8.3g,8.3,2.4,13,1.2g,1.2,3.3g,6.6g,3.3,6.6
Chicken Legend® with Cool Mayo,56,2220,529,2220kJ,529kcal,21g,21,4.0,27,1.8g,1.8,2.5g,4.5g,2.5,4.5
Chicken Legend® with BBQ Sauce,61,2038,484,2038kJ,484kcal,14g,14,3.9,27,1.6g,1.6,1.6g,8.4g,1.6,8.4
Chicken Legend® with Hot & Spicy Mayo,56,2177,519,2177kJ,519kcal,20g,20,3.9,27,1.8g,1.8,2.1g,4.5g,2.1,4.5
McChicken Sandwich®,43,1627,388,1627kJ,388kcal,16g,16,3.4,17,1.4g,1.4,1.8g,7.1g,1.8,7.1
Mayo Chicken,38,1337,319,1337kJ,319kcal,13g,13,2.8,12,1.1g,1.1,1.6g,4.6g,1.6,4.6
Filet-o-Fish®,36,1379,329,1379kJ,329kcal,13g,13,2.7,15,1.3g,1.3,2.6g,5.4g,2.6,5.4
Vegetable Deluxe,54,1679,400,1679kJ,400kcal,15g,15,5.4,9.6,1.4g,1.4,1.6g,8.1g,1.6,8.1
Spicy Vegetable Deluxe,57,1729,412,1729kJ,412kcal,15g,15,5.8,9.9,1.5g,1.5,1.7g,12g,1.7,12
Chicken Selects®,20,1502,359,1502kJ,359kcal,20g,20,0.2,25,1.8g,1.8,2.2g,0.3g,2.2,0.3
Chicken McNuggets®,18,1083,259,1083kJ,259kcal,13g,13,0.7,16,0.51g,0.51,1.7g,0.6g,1.7,0.6
20 Chicken McNuggets® ShareBox®,61,3612,863,3612kJ,863kcal,45g,45,2.2,53,1.7g,1.7,5.8g,1.9g,5.8,1.9
The Fiery Buffalo Chicken One - Grilled,36,1426,339,1426kJ,339kcal,8.9g,8.9,2.8,27,1.8g,1.8,3.9g,4.0g,3.9,4.0
The Fiery Buffalo Chicken One - Crispy,49,1984,473,1984kJ,473kcal,19g,19,2.9,25,2.3g,2.3,4.8g,3.7g,4.8,3.7
The Garlic Mayo Chicken One - Grilled,35,1451,345,1451kJ,345kcal,11g,11,3.0,25,1.3g,1.3,1.9g,3.7g,1.9,3.7
The Garlic Mayo Chicken One - Crispy,48,2009,479,2009kJ,479kcal,21g,21,3.2,22,1.8g,1.8,2.8g,3.4g,2.8,3.4
The Sweet Chilli Chicken One - Grilled,39,1432,340,1432kJ,340kcal,9.0g,9.0,3.1,24,1.4g,1.4,1.8g,7.5g,1.8,7.5
The Sweet Chilli Chicken One - Crispy,52,1990,474,1990kJ,474kcal,19g,19,3.2,22,2.0g,2.0,2.6g,7.2g,2.6,7.2
The BBQ and Chicken Bacon One - Grilled,40,1542,366,1542kJ,366kcal,11g,11,3.0,26,1.6g,1.6,2.5g,7.3g,2.5,7.3
The BBQ and Chicken Bacon One - Crispy,52,2098,500,2098kJ,500kcal,21g,21,3.1,24,2.2g,2.2,3.3g,7.0g,3.3,7.0
Spicy Chicken Snack Wrap®,30,1347,322,1347kJ,322kcal,16g,16,1.9,13,1.5g,1.5,3.1g,1.9g,3.1,1.9
Grilled Chicken Salad,4.0,560,133,560kJ,133kcal,3.7g,3.7,1.7,20,0.73g,0.73,0.7g,3.3g,0.7,3.3
Grilled Chicken and Bacon Salad,4.0,770,184,770kJ,184kcal,7.4g,7.4,1.7,24,1.0g,1.0,2.0g,3.4g,2.0,3.4
Crispy Chicken Salad,16,1109,265,1109kJ,265kcal,13g,13,1.7,21,0.86g,0.86,1.5g,3.0g,1.5,3.0
Crispy Chicken and Bacon Salad,16,1320,316,1320kJ,316kcal,16g,16,1.7,25,1.2g,1.2,2.8g,3.0g,2.8,3.0
Shaker Side Salad,2.1,77,18,77kJ,18kcal,0.5g,0.5,1.1,0.9,0.05g,0.05,0.0g,1.9g,0.0,1.9
Carrot Bag,6.2,141,34,141kJ,34kcal,0.2g,0.2,2.4,0.5,0.08g,0.08,0.1g,5.8g,0.1,5.8
Cheese Melt Dippers,15,1069,257,1069kJ,257kcal,17g,17,2.6,8.9,2.0g,2.0,6.6g,0.8g,6.6,0.8
McDonald's Fries,42,1410,337,1410kJ,337kcal,17g,17,3.6,3.3,0.62g,0.62,1.5g,0.6g,1.5,0.6
Oreo® McFlurry®,41,1122,267,1122kJ,267kcal,9.1g,9.1,1.3,5.0,0.31g,0.31,5.3g,34g,5.3,34
Cadbury Dairy Milk® McFlurry®,41,1225,292,1225kJ,292kcal,12g,12,1.0,5.3,0.24g,0.24,7.7g,38g,7.7,38
Cadbury Crunchie® McFlurry®,43,1193,284,1193kJ,284kcal,10.0g,10.0,1.0,4.6,0.27g,0.27,6.7g,39g,6.7,39
Grilled Chicken Wrap,25,765,181,765kJ,181kcal,2.9g,2.9,1.5,13,0.79g,0.79,0.9g,2.9g,0.9,2.9
Crispy Chicken Wrap,31,1044,248,1044kJ,248kcal,8.0g,8.0,1.6,12,1.1g,1.1,1.4g,2.6g,1.4,2.6
Chicken McNuggets® (4 pieces),12,722,173,722kJ,173kcal,8.9g,8.9,0.4,11,0.34g,0.34,1.2g,0.4g,1.2,0.4
Fish Fingers (3 fingers),16,813,194,813kJ,194kcal,8.5g,8.5,0.7,13,0.69g,0.69,0.8g,0.5g,0.8,0.5
Fries Small,29,990,237,990kJ,237kcal,12g,12,2.6,2.3,0.44g,0.44,1.1g,0.4g,1.1,0.4
Buxton® Mineral Water (Still) - 250ml,0.0,0,0,0kJ,0kcal,0.0g,0.0,0.0,0.0,0.00g,0.00,0.0g,0.0g,0.0,0.0
Organic Milk,12,524,125,524kJ,125kcal,4.5g,4.5,0.0,9.0,0.28g,0.28,2.8g,12g,2.8,12
Robinsons® Fruit Shoot,1.6,40,10,40kJ,10kcal,0.0g,0.0,0.0,0.0,0.06g,0.06,0.0g,1.6g,0.0,1.6
Maltesers® Reindeer McFlurry®,52,1500,357,1500kJ,357kcal,14g,14,1.2,5.9,0.28g,0.28,8.8g,48g,8.8,48
IRN-BRU®,19,340,80,340kJ,80kcal,0.0g,0.0,0.0,0.0,0.00g,0.00,0.0g,19g,0.0,19
Ice Cream Cone,22,612,145,612kJ,145kcal,4.9g,4.9,0.5,2.8,0.13g,0.13,3.1g,18g,3.1,18
Ice Cream Cone with Flake,27,798,190,798kJ,190kcal,7.5g,7.5,0.6,3.5,0.14g,0.14,4.6g,22g,4.6,22
Mango and Pineapple Iced Fruit Smoothie,41,790,187,790kJ,187kcal,1.0g,1.0,2.8,2.3,0.22g,0.22,0.3g,40g,0.3,40
Berry Burst Fruit Smoothie,35,675,159,675kJ,159kcal,0.8g,0.8,2.1,2.0,0.16g,0.16,0.3g,32g,0.3,32
Caramel Iced Frappé,38,1311,313,1311kJ,313kcal,15g,15,0.0,6.5,0.33g,0.33,10g,32g,10,32
Mocha Iced Frappé,39,1257,300,1257kJ,300kcal,13g,13,0.0,6.9,0.34g,0.34,9.1g,33g,9.1,33
Chocolate Milkshake,53,1424,337,1424kJ,337kcal,8.1g,8.1,2.4,12,0.60g,0.60,5.1g,45g,5.1,45
Strawberry Milkshake,55,1395,331,1395kJ,331kcal,7.2g,7.2,1.5,11,0.34g,0.34,4.6g,53g,4.6,53
Banana Milkshake,55,1401,332,1401kJ,332kcal,7.2g,7.2,1.5,11,0.32g,0.32,4.6g,53g,4.6,53
Vanilla Milkshake,57,1437,340,1437kJ,340kcal,7.2g,7.2,1.5,11,0.33g,0.33,4.6g,55g,4.6,55
Buxton® Mineral Water (Still),0.0,0,0,0kJ,0kcal,0.0g,0.0,0.0,0.0,0.00g,0.00,0.0g,0.0g,0.0,0.0
Coca-Cola® Zero Sugar,0.0,6,1,6kJ,1kcal,0.0g,0.0,0.0,0.0,0.10g,0.10,0.0g,0.0g,0.0,0.0
Diet Coke®,0.0,6,1,6kJ,1kcal,0.0g,0.0,0.0,0.0,0.07g,0.07,0.0g,0.0g,0.0,0.0
Sprite® Zero,0.0,20,4,20kJ,4kcal,0.0g,0.0,0.0,0.1,0.05g,0.05,0.0g,0.0g,0.0,0.0
Coca-Cola® Classic,42,721,170,721kJ,170kcal,0.0g,0.0,0.0,0.0,0.00g,0.00,0.0g,42g,0.0,42
Fanta® Orange,18,320,76,320kJ,76kcal,0.0g,0.0,0.0,0.0,0.08g,0.08,0.0g,18g,0.0,18
Oasis®,17,283,67,283kJ,67kcal,0.0g,0.0,0.0,0.1,0.32g,0.32,0.0g,17g,0.0,17
Apple Pie,27,1043,250,1043kJ,250kcal,14g,14,1.4,2.3,0.34g,0.34,3.3g,9.5g,3.3,9.5
McDonald's Balsamic Dressing - 30g,4.4,107,26,107kJ,26kcal,0.8g,0.8,0.2,0.1,0.55g,0.55,0.1g,3.2g,0.1,3.2
McDonald's Fajita-Style Dressing - 30g,3.0,87,21,87kJ,21kcal,0.8g,0.8,0.4,0.3,0.23g,0.23,0.6g,2.5g,0.6,2.5
Tangy Tomato Dip,10,179,43,179kJ,43kcal,0.1g,0.1,0.4,0.6,0.45g,0.45,0.0g,7.6g,0.0,7.6
Rich Tomato Dip - 25ml,8.8,169,40,169kJ,40kcal,0.3g,0.3,0.2,0.5,0.28g,0.28,0.0g,6.8g,0.0,6.8
Smoky BBQ Dip,19,357,84,357kJ,84kcal,0.4g,0.4,0.3,0.5,0.78g,0.78,0.1g,13g,0.1,13
Sour Cream & Chive Dip,3.2,578,140,578kJ,140kcal,14g,14,0.0,0.6,0.53g,0.53,1.7g,0.7g,1.7,0.7
Sweet Chilli Dip,25,453,107,453kJ,107kcal,0.6g,0.6,0.0,0.2,0.79g,0.79,0.1g,22g,0.1,22
BBQ Dip - 30g,11,207,49,207kJ,49kcal,0.3g,0.3,0.4,0.3,0.54g,0.54,0.0g,9.3g,0.0,9.3
Sweet & Sour Dip - 30g,10,185,44,185kJ,44kcal,0.2g,0.2,0.4,0.1,0.21g,0.21,0.0g,8.7g,0.0,8.7
Sweet Curry Dip - 30g,11,213,50,213kJ,50kcal,0.5g,0.5,0.7,0.3,0.55g,0.55,0.1g,9.0g,0.1,9.0
Tomato Ketchup - 21ml,5.9,114,27,114kJ,27kcal,0.1g,0.1,0.4,0.4,0.48g,0.48,0.0g,4.7g,0.0,4.7
Flora® Original - 10g,0.0,218,53,218kJ,53kcal,5.9g,5.9,0.0,0.0,0.14g,0.14,1.2g,0.0g,1.2,0.0
Philadelphia® Light - 35g,1.8,218,53,218kJ,53kcal,3.9g,3.9,0.1,2.5,0.28g,0.28,2.6g,1.8g,2.6,1.8
Pancake Syrup - 40g,33,560,132,560kJ,132kcal,0.1g,0.1,0.0,0.0,0.00g,0.00,0.0g,25g,0.0,25
Strawberry Jam - 15g,9.6,167,39,167kJ,39kcal,0.0g,0.0,0.2,0.1,0.02g,0.02,0.0g,9.6g,0.0,9.6
Butter Portion,0.1,263,64,263kJ,64kcal,7.1g,7.1,0.0,0.1,0.13g,0.13,4.5g,0.1g,4.5,0.1
Milk Portion,0.5,22,5,22kJ,5kcal,0.2g,0.2,0.0,0.4,0.01g,0.01,0.1g,0.5g,0.1,0.5
Canderel® Yellow Sweetener Sachet,0.4,8,2,8kJ,2kcal,0.0g,0.0,0.0,0.0,0.00g,0.00,0.0g,0.4g,0.0,0.4
White Sugar Sachet,3.0,51,12,51kJ,12kcal,0.0g,0.0,0.0,0.0,0.00g,0.00,0.0g,3.0g,0.0,3.0
